suicide_age_30_44_per_100000_people,geo,time
5.922,esp,1986
6.093,esp,1987
6.54,esp,1988
6.447,esp,1989
6.272,esp,1990
6.046,esp,1991
6.26,esp,1992
7.314,esp,1993
7.819,esp,1994
7.496,esp,1995
8.151,esp,1996
7.995,esp,1997
7.9,esp,1998
7.617,esp,1999
8.017,esp,2000
8.388,esp,2001
7.99,esp,2002
8.768,esp,2003
8.214,esp,2004
8.134,esp,2005
8.088,lka,1950
9.82,lka,1951
8.442,lka,1952
9.118,lka,1953
8.877,lka,1954
8.612,lka,1955
10.64,lka,1956
10.69,lka,1957
11.18,lka,1958
11.42,lka,1959
12.84,lka,1960
12.85,lka,1961
14.5,lka,1962
17.09,lka,1963
20.51,lka,1964
17.99,lka,1965
16.93,lka,1966
19.7,lka,1967
19.48,lka,1968
20.84,lka,1977
31.56,lka,1980
29.28,lka,1981
33.17,lka,1982
37.26,lka,1983
39.48,lka,1984
38.89,lka,1985
38.26,lka,1986
17.05,swe,1951
19.35,swe,1952
21.13,swe,1953
19.39,swe,1954
19.19,swe,1955
21.51,swe,1956
22.53,swe,1957
19.6,swe,1958
21.08,swe,1959
18.94,swe,1960
16.46,swe,1961
23.36,swe,1962
20.62,swe,1963
23.06,swe,1964
23.94,swe,1965
25.39,swe,1966
28.45,swe,1967
29.36,swe,1968
28.29,swe,1969
29.31,swe,1970
26.66,swe,1971
27.63,swe,1972
27.86,swe,1973
26.17,swe,1974
23.97,swe,1975
23.12,swe,1976
25.2,swe,1977
22.21,swe,1978
27.05,swe,1979
25.34,swe,1980
20.69,swe,1981
23.52,swe,1982
23.63,swe,1983
25.48,swe,1984
22.19,swe,1985
23.64,swe,1986
21.54,swe,1987
24.11,swe,1988
23.15,swe,1989
20.33,swe,1990
20.84,swe,1991
18.65,swe,1992
19.72,swe,1993
16.56,swe,1994
19.11,swe,1995
15.83,swe,1996
17.42,swe,1997
14.78,swe,1998
16.27,swe,1999
14.67,swe,2000
14.75,swe,2001
14.33,swe,2002
13.78,swe,2003
13.67,swe,2004
13.25,swe,2005
14.29,swe,2006
13.07,swe,2007
21.79,che,1951
21.37,che,1952
21.27,che,1953
22.7,che,1954
21.71,che,1955
20.93,che,1956
21.2,che,1957
22.18,che,1958
19.5,che,1959
21.07,che,1960
20.77,che,1961
23.16,che,1962
20.16,che,1963
19.19,che,1964
20.58,che,1965
20.04,che,1966
21.43,che,1967
17.55,che,1968
19.3,che,1969
18.31,che,1970
21.11,che,1971
23.53,che,1972
19.76,che,1973
23.32,che,1974
25.23,che,1975
26.19,che,1976
26.19,che,1977
25.51,che,1978
27.09,che,1979
28.57,che,1980
