imports_percent_of_gdp,geo,time
56.19,cyp,2008
45.56,cyp,2009
46.56,cyp,2010
42.57,cze,1990
45.74,cze,1991
53.57,cze,1992
54.31,cze,1993
53.16,cze,1994
55.07,cze,1995
54.77,cze,1996
57.27,cze,1997
55.31,cze,1998
56.62,cze,1999
66.39,cze,2000
67.85,cze,2001
62.31,cze,2002
64.06,cze,2003
70.08,cze,2004
69.04,cze,2005
72.99,cze,2006
75.08,cze,2007
72.54,cze,2008
63.58,cze,2009
74.55,cze,2010
34.32,dnk,1960
32.34,dnk,1961
32.5,dnk,1962
30.79,dnk,1963
32.63,dnk,1964
31.54,dnk,1965
30.78,dnk,1966
30.0,dnk,1967
29.7,dnk,1968
30.39,dnk,1969
31.75,dnk,1970
30.57,dnk,1971
28.43,dnk,1972
31.5,dnk,1973
35.45,dnk,1974
31.89,dnk,1975
34.3,dnk,1976
33.39,dnk,1977
30.93,dnk,1978
33.31,dnk,1979
34.83,dnk,1980
36.64,dnk,1981
36.93,dnk,1982
35.51,dnk,1983
36.63,dnk,1984
37.69,dnk,1985
34.32,dnk,1986
31.44,dnk,1987
32.02,dnk,1988
33.54,dnk,1989
32.55,dnk,1990
33.11,dnk,1991
31.61,dnk,1992
30.67,dnk,1993
32.44,dnk,1994
33.44,dnk,1995
32.92,dnk,1996
35.06,dnk,1997
36.06,dnk,1998
35.61,dnk,1999
40.47,dnk,2000
40.55,dnk,2001
41.35,dnk,2002
39.05,dnk,2003
40.45,dnk,2004
44.08,dnk,2005
48.89,dnk,2006
49.93,dnk,2007
51.56,dnk,2008
43.84,dnk,2009
45.06,dnk,2010
78.43,dji,1990
78.06,dji,1991
76.8,dji,1992
64.21,dji,1993
56.03,dji,1994
51.22,dji,1995
50.39,dji,1996
50.33,dji,1997
53.45,dji,1998
48.36,dji,1999
50.38,dji,2000
45.77,dji,2001
43.75,dji,2002
49.07,dji,2003
54.17,dji,2004
50.94,dji,2005
57.33,dji,2006
77.15,dji,2007
61.0,dma,1977
64.86,dma,1978
90.97,dma,1979
92.56,dma,1980
78.7,dma,1981
69.55,dma,1982
60.57,dma,1983
68.39,dma,1984
59.95,dma,1985
59.22,dma,1986
61.34,dma,1987
68.78,dma,1988
78.41,dma,1989
80.54,dma,1990
70.01,dma,1991
65.3,dma,1992
61.01,dma,1993
62.8,dma,1994
64.41,dma,1995
61.37,dma,1996
70.33,dma,1997
66.62,dma,1998
67.45,dma,1999
55.69,dma,2000
49.24,dma,2001
46.95,dma,2002
45.4,dma,2003
46.7,dma,2004
53.27,dma,2005
50.43,dma,2006
55.72,dma,2007
61.92,dma,2008
56.23,dma,2009
55.02,dma,2010
18.81,dom,1960
16.34,dom,1961
24.18,dom,1962
25.98,dom,1963
28.03,dom,1964
20.27,dom,1965
25.34,dom,1966
25.01,dom,1967
26.64,dom,1968
26.11,dom,1969
24.59,dom,1970
24.6,dom,1971
25.48,dom,1972
25.68,dom,1973
36.23,dom,1974
30.02,dom,1975
28.19,dom,1976
24.18,dom,1977
24.17,dom,1978
26.99,dom,1979
28.94,dom,1980
25.02,dom,1981
19.25,dom,1982
18.3,dom,1983
32.84,dom,1984
37.1,dom,1985
33.46,dom,1986
37.42,dom,1987
41.75,dom,1988
44.53,dom,1989
43.69,dom,1990
43.06,dom,1991
44.0,dom,1992
42.05,dom,1993
41.56,dom,1994
39.32,dom,1995
38.16,dom,1996
40.2,dom,1997
43.55,dom,1998
43.32,dom,1999
45.87,dom,2000
41.0,dom,2001
40.33,dom,2002
43.42,dom,2003
41.56,dom,2004
35.5,dom,2005
37.98,dom,2006
37.87,dom,2007
39.24,dom,2008
30.25,dom,2009
34.01,dom,2010
19.49,ecu,1960
20.45,ecu,1961
20.55,ecu,1962
18.91,ecu,1963
20.07,ecu,1964
19.89,ecu,1965
20.26,ecu,1966
21.04,ecu,1967
22.4,ecu,1968
21.69,ecu,1969
22.22,ecu,1970
28.41,ecu,1971
25.69,ecu,1972
25.03,ecu,1973
31.53,ecu,1974
32.16,ecu,1975
28.22,ecu,1976
28.89,ecu,1977
28.08,ecu,1978
27.02,ecu,1979
27.1,ecu,1980
23.88,ecu,1981
26.99,ecu,1982
23.5,ecu,1983
23.31,ecu,1984
23.24,ecu,1985
25.15,ecu,1986
34.24,ecu,1987
32.31,ecu,1988
35.97,ecu,1989
32.0,ecu,1990
32.03,ecu,1991
31.18,ecu,1992
26.69,ecu,1993
26.35,ecu,1994
28.26,ecu,1995
24.09,ecu,1996
25.72,ecu,1997
28.36,ecu,1998
24.96,ecu,1999
31.0,ecu,2000
31.14,ecu,2001
32.21,ecu,2002
28.13,ecu,2003
29.27,ecu,2004
32.0,ecu,2005
32.97,ecu,2006
34.43,ecu,2007
37.79,ecu,2008
31.97,ecu,2009
38.62,ecu,2010
20.09,egy,1960
20.69,egy,1961
23.03,egy,1962
25.21,egy,1963
23.07,egy,1964
21.35,egy,1965
19.9,egy,1966
17.76,egy,1967
17.0,egy,1968
17.51,egy,1969
